date;customer_id;customer_gender;customer_age;check_no;chain;store_code;store_name;product_code;category_1;category_2;category_3;qty;sale
01.10.2021;40367;Man;59;99782;B;5;Name 5;11373;NonMedication;14;200;1;8 028,28
06.10.2021;8821;Woman;30;114731;B;5;Name 5;11742;Medication;2;44;0,25;21,28
24.10.2021;100379;Man;42;175967;A;4;Name 4;4343;NonMedication;11;162;1;1 559,25
21.11.2021;53732;Woman;35;280163;B;5;Name 5;16312;NonMedication;10;146;1;3 248,44
29.10.2021;43652;Woman;42;192387;B;7;Name 7;1728;Medication;0;1;0,4;259,09
28.10.2021;94185;Man;51;189096;B;7;Name 7;7438;NonMedication;5;87;1;15 202,69
13.09.2021;32675;Man;28;39833;A;1;Name 1;6595;NonMedication;8;126;1;1 763,44
07.11.2021;5525;Woman;70;226935;B;5;Name 5;2111;NonMedication;8;122;1;1 515,94
28.09.2021;126394;Woman;37;89809;B;5;Name 5;6600;NonMedication;4;56;1;11 292,19
01.10.2021;77210;Man;29;99151;A;3;Name 3;11742;Medication;2;44;0,05;2,78
12.10.2021;16392;Man;44;135977;B;6;Name 6;53;Medication;1;22;1;168,75
24.11.2021;114805;Woman;69;289689;A;4;Name 4;3381;Medication;1;35;0,467;49,47
23.10.2021;11675;Woman;30;174552;B;5;Name 5;5349;NonMedication;3;54;1;1 265,34
23.11.2021;123014;Woman;40;287649;B;5;Name 5;75;Medication;0;2;2;101,28
30.09.2021;89628;Woman;52;94283;A;0;Name 0;15123;NonMedication;12;172;1;1 351,35
02.09.2021;68128;Man;46;4984;A;8;Name 8;5694;NonMedication;13;183;1;311,85
28.11.2021;54147;Woman;22;307461;A;1;Name 1;7043;NonMedication;3;46;1;4 677,75
27.11.2021;127822;Woman;36;304508;A;1;Name 1;7621;Medication;1;33;0,01;1,14
29.11.2021;41150;Woman;39;311094;B;6;Name 6;1099;NonMedication;13;184;10;618,75
27.10.2021;55259;Woman;24;186988;B;6;Name 6;16249;NonMedication;5;83;1;12 065,63
19.11.2021;104522;Man;39;270981;A;8;Name 8;6141;NonMedication;17;217;1;2 583,90
15.09.2021;114847;Woman;35;46301;A;4;Name 4;52;Medication;0;9;0,067;2,78
05.09.2021;92200;Woman;38;14122;A;0;Name 0;917;Medication;1;18;0,1;3,84
23.11.2021;119618;Man;44;288342;B;6;Name 6;12895;Medication;1;33;0,5;42,02
29.09.2021;123287;Woman;56;90109;B;7;Name 7;483;Medication;1;18;1;40,93
02.09.2021;80597;Woman;43;5763;A;2;Name 2;311;Medication;0;11;1;84,21
06.10.2021;3490;Woman;33;113811;B;6;Name 6;6750;NonMedication;4;58;1;1 515,94
03.11.2021;130698;Man;22;211102;A;1;Name 1;348;Medication;1;21;1;0,98
26.09.2021;99321;Woman;34;81684;A;1;Name 1;5374;NonMedication;8;122;1;677,53
07.09.2021;120833;Man;32;19168;B;7;Name 7;11655;NonMedication;12;173;1;4 625,16
17.10.2021;96559;Woman;41;153420;B;5;Name 5;6022;Medication;1;27;0,2;12,98
24.09.2021;21235;Woman;26;75519;A;1;Name 1;52;Medication;0;9;0,133;5,53
12.11.2021;16230;Woman;52;242838;A;1;Name 1;1099;NonMedication;13;184;10;334,13
28.10.2021;67774;Woman;34;192064;A;8;Name 8;3124;Medication;1;21;1;11,82
10.09.2021;38790;Woman;30;31081;B;6;Name 6;7621;Medication;1;33;0,3;48,19
29.10.2021;63290;Woman;57;195869;A;3;Name 3;206;Medication;1;24;0,5;3,21
12.11.2021;92058;Woman;53;243313;A;0;Name 0;1099;NonMedication;13;184;10;334,13
04.10.2021;19711;Woman;56;106385;A;1;Name 1;16807;Medication;1;33;2;91,97
30.11.2021;114530;Woman;33;313611;A;4;Name 4;7649;NonMedication;10;143;1;4 267,52
05.10.2021;82436;Woman;32;110174;B;5;Name 5;1756;NonMedication;4;60;1;1 054,97
26.09.2021;49492;Woman;25;80808;B;7;Name 7;864;Medication;1;27;5;11,34
05.11.2021;12403;Woman;25;217318;B;7;Name 7;15617;NonMedication;3;46;1;14 234,34
29.11.2021;86915;Woman;61;310399;B;5;Name 5;7800;Medication;0;8;2;400,03
11.10.2021;14281;Woman;54;131017;B;6;Name 6;2682;Medication;0;2;0,2;17,83
16.10.2021;91150;Woman;45;148659;A;0;Name 0;12112;Medication;2;45;0,625;24,75
10.10.2021;4625;Woman;39;126613;B;7;Name 7;8157;NonMedication;13;183;1;773,44
26.11.2021;54558;Woman;43;301550;B;7;Name 7;10094;NonMedication;5;83;1;14 385,94
11.09.2021;25701;Man;47;36072;A;3;Name 3;9835;Medication;1;38;0,1;11
18.10.2021;17806;Woman;36;156559;B;5;Name 5;8353;NonMedication;5;96;1;14 277,66
22.10.2021;79969;Woman;33;169237;A;0;Name 0;1919;Medication;1;24;0,5;3,35
26.11.2021;31378;Woman;34;298475;A;1;Name 1;7114;NonMedication;11;155;1;1 754,16
01.10.2021;102094;Woman;28;99696;B;5;Name 5;1246;Medication;0;6;2;100,23
18.09.2021;127881;Woman;35;56191;A;0;Name 0;615;Medication;1;33;0,067;5,45
01.09.2021;14314;Woman;62;2211;B;6;Name 6;7199;NonMedication;8;120;1;866,25
20.09.2021;111605;Woman;76;61579;A;4;Name 4;114;Medication;1;18;0,167;12,66
15.09.2021;85675;Woman;40;46208;A;4;Name 4;9942;Medication;1;18;0,502;35,53
17.10.2021;25425;Woman;37;153218;A;3;Name 3;1099;NonMedication;13;184;10;334,13
14.09.2021;47059;Woman;31;42217;B;7;Name 7;5628;Medication;2;45;1;139,44
20.11.2021;57260;Man;32;274684;B;5;Name 5;5072;NonMedication;4;56;0,167;1 525,22
06.09.2021;123962;Woman;62;18339;A;3;Name 3;14019;Medication;0;6;1;66,54
29.10.2021;128600;Woman;39;193558;A;0;Name 0;6022;Medication;1;27;0,3;8,66
23.11.2021;45848;Woman;32;284863;B;7;Name 7;4643;Medication;1;18;1;9,8
10.11.2021;2658;Woman;61;236877;A;2;Name 2;12295;Medication;1;19;0,333;31,91
09.09.2021;119019;Woman;51;26894;A;4;Name 4;2701;Medication;1;35;0,5;45,06
26.11.2021;30197;Woman;28;301097;B;6;Name 6;1099;NonMedication;13;184;50;3 093,75
12.11.2021;40738;Woman;52;244813;A;2;Name 2;758;Medication;1;21;1;17,56
21.09.2021;121483;Woman;33;67868;A;8;Name 8;9033;Medication;2;45;2;270,78
16.11.2021;6496;Woman;28;258989;B;6;Name 6;1099;NonMedication;13;184;5;309,38
30.10.2021;11877;Woman;30;199182;B;6;Name 6;16353;Medication;2;45;1;79,41
20.10.2021;103216;Man;33;163321;A;2;Name 2;1099;NonMedication;13;184;2;66,83
03.09.2021;102418;Woman;50;8631;A;2;Name 2;221;Medication;1;24;4;4,36
27.10.2021;80307;Woman;50;185453;B;7;Name 7;52;Medication;0;9;0,1;6,94
07.09.2021;104071;Man;30;19389;A;4;Name 4;15215;Medication;1;23;1;35,96
24.09.2021;120951;Woman;30;76026;B;6;Name 6;1131;Medication;1;27;0,167;4,99
16.10.2021;79881;Man;42;149181;A;1;Name 1;5053;NonMedication;9;131;0,25;2 673,00
24.11.2021;82287;Man;37;290888;A;0;Name 0;759;Medication;1;21;1;4,76
24.10.2021;103335;Woman;31;176935;A;3;Name 3;1931;NonMedication;18;238;1;74,25
18.10.2021;26035;Woman;52;156011;A;3;Name 3;1099;NonMedication;13;184;10;334,13
11.10.2021;1379;Man;32;131413;B;5;Name 5;237;Medication;1;31;1;22,46
24.09.2021;89417;Woman;59;74404;A;0;Name 0;554;Medication;1;32;1;5,39
24.09.2021;116083;Woman;59;75174;A;4;Name 4;651;Medication;1;31;0,2;5,58
23.11.2021;89665;Woman;66;285735;A;0;Name 0;322;Medication;1;27;0,3;8,09
20.10.2021;45880;Woman;32;163355;A;2;Name 2;540;Medication;1;32;1;49,96
29.10.2021;31474;Woman;47;192467;B;7;Name 7;12673;NonMedication;13;184;10;928,13
17.09.2021;26795;Man;48;53967;A;3;Name 3;731;Medication;0;2;0,167;5,99
04.09.2021;116782;Man;64;12295;B;5;Name 5;1256;Medication;1;22;5;7,94
15.11.2021;74;Man;51;253502;A;0;Name 0;6659;NonMedication;8;121;1;987,53
14.09.2021;128504;Woman;45;43207;A;1;Name 1;9224;Medication;1;18;0,357;17,97
23.10.2021;75302;Man;29;172943;A;1;Name 1;4411;NonMedication;4;68;1;2 381,57
10.11.2021;108536;Woman;35;235514;B;7;Name 7;1099;NonMedication;13;184;5;309,38
20.11.2021;92549;Woman;30;272557;A;4;Name 4;9832;Medication;1;18;0,036;4,33
02.11.2021;33855;Woman;69;209041;B;6;Name 6;4068;Medication;0;2;1;33,49
22.10.2021;19841;Woman;53;168696;A;1;Name 1;6481;Medication;1;27;0,5;13,64
02.10.2021;71468;Woman;29;101248;A;8;Name 8;7226;NonMedication;8;121;1;1 212,13
08.09.2021;8927;Woman;35;24794;B;5;Name 5;12673;NonMedication;13;184;4;371,25
07.10.2021;97089;Woman;35;118902;A;3;Name 3;7205;NonMedication;4;61;2;2 045,59
12.09.2021;53854;Woman;63;38175;B;5;Name 5;9056;Medication;1;27;1;44,92
12.10.2021;44267;Woman;42;133215;A;1;Name 1;2855;Medication;1;18;0,3;17,53
30.09.2021;114886;Woman;57;94045;A;4;Name 4;9100;Medication;1;27;1;11,52
15.10.2021;89090;Woman;73;145768;A;0;Name 0;8982;Medication;1;23;0,083;7,98
23.09.2021;130795;Woman;43;73610;B;6;Name 6;2623;Medication;0;9;0,5;30,72
18.11.2021;22035;Woman;70;265054;B;6;Name 6;2927;Medication;0;2;0,714;115,66
19.11.2021;37922;Woman;32;270668;B;5;Name 5;16254;NonMedication;5;89;1;2 970,00
05.11.2021;48276;Woman;23;219864;A;3;Name 3;4807;Medication;1;27;1;34,39
12.11.2021;85246;Woman;24;242814;A;1;Name 1;10673;NonMedication;8;121;1;1 835,83
29.09.2021;13010;Woman;75;92539;B;6;Name 6;3914;Medication;1;33;2;8,58
13.09.2021;111527;Woman;37;39491;A;4;Name 4;16957;NonMedication;13;184;10;334,13
24.09.2021;90595;Woman;48;74571;A;0;Name 0;16957;NonMedication;13;184;5;167,06
26.11.2021;33323;Woman;47;300562;B;6;Name 6;888;Medication;1;28;1;65,79
17.10.2021;121250;Woman;52;153855;A;2;Name 2;7951;NonMedication;13;196;1;658,97
01.10.2021;99294;Man;40;96894;A;4;Name 4;14141;Medication;1;18;0,238;41,27
25.10.2021;61590;Woman;28;180960;A;8;Name 8;11172;NonMedication;3;47;1;2 093,85
09.11.2021;25544;Woman;37;233070;A;3;Name 3;829;Medication;0;6;3;3,38
13.10.2021;123339;Man;66;137121;B;7;Name 7;11373;NonMedication;14;200;1;8 028,28
10.09.2021;67584;Man;62;32769;A;8;Name 8;3118;Medication;0;2;0,998;117,23
22.09.2021;91579;Woman;74;69234;A;0;Name 0;6395;NonMedication;13;183;1;37,13
30.10.2021;42076;Woman;67;198343;A;2;Name 2;11742;Medication;2;44;0,1;5,58
23.11.2021;65471;Woman;44;289055;A;8;Name 8;404;Medication;0;8;0,5;8,22
01.10.2021;18704;Man;48;97608;A;1;Name 1;6395;NonMedication;13;183;2;74,25
13.10.2021;48751;Woman;27;138231;A;1;Name 1;14461;Medication;1;18;0,05;3,62
25.10.2021;104864;Woman;35;180819;A;8;Name 8;12373;Medication;1;27;1;22,52
15.10.2021;4373;Woman;65;146507;B;5;Name 5;980;Medication;0;6;2;8,21
01.10.2021;40002;Woman;43;96305;B;7;Name 7;7098;Medication;1;18;2;43,15
24.11.2021;38763;Woman;30;292628;B;6;Name 6;5846;NonMedication;12;173;1;1 778,91
25.11.2021;52093;Woman;55;295771;B;5;Name 5;6481;Medication;1;27;0,5;22,73
05.11.2021;48249;Woman;25;219754;A;3;Name 3;9987;NonMedication;3;49;2;879,86
23.11.2021;16318;Man;73;288529;B;6;Name 6;2903;Medication;0;6;1;68,15
13.10.2021;113768;Woman;67;137421;A;4;Name 4;1099;NonMedication;13;184;5;167,06
08.09.2021;112191;Woman;36;23710;A;4;Name 4;6022;Medication;1;27;0,1;3,68
16.11.2021;223;Woman;61;257766;A;2;Name 2;1167;Medication;0;8;1;8,44
23.11.2021;119408;Woman;56;285199;A;4;Name 4;7731;Medication;0;6;0,5;8,96
29.10.2021;100828;Woman;43;193646;A;4;Name 4;52;Medication;0;9;0,133;5,53
10.11.2021;98322;Man;49;237286;A;3;Name 3;5717;Medication;0;5;0,05;0,93
23.09.2021;8366;Woman;60;71220;B;7;Name 7;2997;Medication;1;33;1;45,87
30.10.2021;40899;Woman;40;198128;A;3;Name 3;6318;Medication;1;27;1;18,57
08.09.2021;94709;Woman;22;23510;A;1;Name 1;7223;NonMedication;8;122;1;748,07
07.11.2021;79646;Woman;34;226191;A;2;Name 2;17064;Medication;2;45;1;76,26
16.10.2021;105981;Woman;43;148238;B;7;Name 7;5717;Medication;0;5;1;37,03
12.11.2021;95384;Woman;31;242736;A;4;Name 4;3442;NonMedication;18;238;2;141,08
14.09.2021;81480;Man;30;42095;B;7;Name 7;14748;NonMedication;17;234;1;309,38
24.09.2021;9636;Woman;67;76158;B;6;Name 6;2313;NonMedication;9;129;1;2 747,25
19.11.2021;74620;Woman;39;269959;A;3;Name 3;6255;NonMedication;11;152;2;2 505,94
27.10.2021;81998;Woman;36;187790;B;5;Name 5;6022;Medication;1;27;0,2;11,16
03.09.2021;9828;Woman;51;7844;B;6;Name 6;221;Medication;1;24;1;1,45
17.09.2021;62398;Woman;58;52486;A;1;Name 1;9612;Medication;0;8;0,2;46,36
20.11.2021;21483;Woman;23;272619;A;4;Name 4;888;Medication;1;28;1;14,29
23.11.2021;111358;Woman;37;285473;A;4;Name 4;6221;Medication;0;6;1;30,9
03.11.2021;62939;Woman;23;213381;A;3;Name 3;3014;Medication;1;27;0,2;4,19
09.10.2021;50403;Man;41;124599;A;3;Name 3;1045;Medication;2;45;0,375;24,75
17.09.2021;94429;Woman;66;52695;A;1;Name 1;12556;Medication;0;5;0,25;6,32
05.09.2021;128258;Man;43;15157;A;3;Name 3;3245;Medication;0;8;0,167;19,87
08.11.2021;14846;Woman;40;229448;B;6;Name 6;888;Medication;1;28;1;17,92
16.10.2021;127228;Man;50;150614;B;6;Name 6;515;Medication;0;2;1;21,73
16.09.2021;128733;Woman;36;51193;A;3;Name 3;11125;Medication;0;9;0,333;89,46
29.11.2021;121293;Man;58;310425;B;5;Name 5;1517;Medication;1;18;0,05;3,49
17.09.2021;88400;Man;38;53058;A;0;Name 0;6221;Medication;0;6;1;24,77
19.09.2021;115687;Woman;38;58929;A;4;Name 4;2592;Medication;1;32;0,5;6,26
19.11.2021;115020;Man;60;266850;A;4;Name 4;652;Medication;1;31;1;13,61
23.11.2021;122869;Woman;64;287905;B;5;Name 5;13008;Medication;1;23;1;74,73
20.09.2021;112419;Woman;35;62655;A;2;Name 2;1515;Medication;1;27;1;33,76
04.10.2021;46690;Woman;31;106521;A;1;Name 1;1257;Medication;0;6;0,2;12,96
17.11.2021;22329;Man;41;259660;B;7;Name 7;1021;Medication;1;23;1;5,99
05.09.2021;92076;Man;44;14174;A;0;Name 0;740;Medication;1;38;1;8,06
05.11.2021;110403;Woman;45;217624;A;4;Name 4;1510;Medication;1;19;0,5;19,68
24.11.2021;93207;Woman;28;290647;A;0;Name 0;14018;Medication;0;1;0,1;7,98
08.10.2021;22523;Woman;39;119272;B;7;Name 7;2997;Medication;1;33;1;38,34
14.11.2021;109574;Woman;29;251972;A;8;Name 8;12443;NonMedication;3;46;1;8 353,13
17.09.2021;109992;Woman;57;53209;A;4;Name 4;9338;Medication;1;35;1;113,56
19.11.2021;28847;Woman;68;269227;B;6;Name 6;11033;NonMedication;5;83;1;18 547,03
05.11.2021;26126;Woman;35;220351;B;5;Name 5;13393;Medication;2;44;1;94,2
28.09.2021;28358;Man;54;89327;A;3;Name 3;16679;Medication;1;21;1;2,5
25.11.2021;67277;Woman;36;296665;A;2;Name 2;1099;NonMedication;13;184;50;1 392,19
26.11.2021;112030;Woman;42;300237;A;2;Name 2;511;Medication;1;35;1;1,42
04.09.2021;45285;Woman;34;11401;A;1;Name 1;221;Medication;1;24;2;2,18
16.10.2021;89615;Woman;41;148735;A;0;Name 0;12895;Medication;1;33;0,5;32,02
24.09.2021;86903;Man;37;77656;A;3;Name 3;2740;Medication;1;18;0,5;20,75
17.09.2021;99957;Woman;32;55409;B;5;Name 5;6501;Medication;1;35;0,16;11,43
26.09.2021;78133;Woman;31;81523;A;1;Name 1;1456;Medication;0;8;0,12;2,7
10.09.2021;120355;Man;37;30885;A;4;Name 4;4470;Medication;1;18;0,15;10,37
05.11.2021;6511;Woman;29;219498;B;6;Name 6;8996;NonMedication;4;56;1;4 934,53
09.11.2021;79422;Man;49;233268;A;3;Name 3;6918;Medication;0;1;0,179;64,55
05.10.2021;91191;Woman;58;109312;A;0;Name 0;15703;Medication;2;45;0,333;14,89
06.09.2021;68627;Woman;37;16376;A;4;Name 4;3309;NonMedication;12;172;1;642,26
01.11.2021;71076;Woman;41;205637;A;8;Name 8;888;Medication;1;28;1;34,28
05.11.2021;85363;Woman;34;217209;B;7;Name 7;7735;Medication;0;1;0,167;113,07
05.11.2021;16857;Woman;55;218613;A;1;Name 1;8412;NonMedication;4;64;1;1 061,78
25.10.2021;72902;Woman;28;181002;A;8;Name 8;3948;NonMedication;9;129;1;2 318,46
19.10.2021;8951;Woman;46;160826;B;5;Name 5;506;Medication;2;43;1;9,39
24.09.2021;82613;Woman;24;75389;A;1;Name 1;14223;Medication;0;2;0,1;9,15
06.10.2021;36760;Woman;74;113727;B;6;Name 6;11372;NonMedication;14;200;1;12 065,63
05.10.2021;107363;Woman;38;109111;A;0;Name 0;306;Medication;1;18;0,45;19
16.09.2021;101743;Woman;56;49778;A;4;Name 4;12295;Medication;1;19;0,333;40,51
26.11.2021;96555;Woman;35;302574;B;5;Name 5;2358;NonMedication;9;136;1;2 871,00
28.10.2021;42567;Man;46;190896;A;2;Name 2;1475;Medication;1;36;0,25;19,17
09.11.2021;7109;Woman;43;234548;A;2;Name 2;6671;Medication;1;32;1;72,77
08.09.2021;18359;Man;33;23386;A;1;Name 1;507;Medication;1;25;1;3,27
01.09.2021;91642;Woman;32;1144;A;0;Name 0;1779;Medication;1;21;1;5,74
19.10.2021;9323;Woman;75;160775;B;5;Name 5;3124;Medication;1;21;1;19,1
14.10.2021;52769;Man;41;143335;A;3;Name 3;1997;Medication;1;36;0,9;22,79
21.10.2021;111084;Man;60;165560;A;4;Name 4;8214;Medication;0;2;0,033;3,54
03.11.2021;25167;Man;42;210883;A;1;Name 1;11830;Medication;2;45;0,333;14,73
26.11.2021;56581;Woman;53;300055;A;2;Name 2;1102;Medication;1;18;5;7,62
20.10.2021;130113;Woman;27;162169;A;0;Name 0;2631;NonMedication;4;56;1;2 960,72
08.09.2021;48538;Woman;27;26346;A;3;Name 3;2912;Medication;1;18;0,2;11,3
16.09.2021;114845;Man;56;50003;A;4;Name 4;9842;Medication;1;27;0,2;8,22
17.10.2021;98765;Woman;37;153448;B;5;Name 5;766;NonMedication;13;187;1;139,22
30.09.2021;31139;Woman;36;94796;B;5;Name 5;2608;Medication;1;36;0,5;5,9
08.11.2021;90698;Woman;36;228874;A;0;Name 0;103;Medication;0;2;0,5;8,33
20.11.2021;83905;Woman;35;272761;A;3;Name 3;10066;NonMedication;3;49;2;1 661,34
17.10.2021;109848;Man;64;151832;A;4;Name 4;766;NonMedication;13;187;1;83,53
28.10.2021;71986;Woman;23;191933;A;8;Name 8;3014;Medication;1;27;0,4;9,58
01.09.2021;57111;Woman;37;309;B;7;Name 7;6034;NonMedication;12;172;1;3 573,28
27.11.2021;72739;Man;30;306149;A;8;Name 8;8592;NonMedication;4;56;0,135;562,44
15.09.2021;11063;Woman;62;48155;A;2;Name 2;4617;NonMedication;11;153;1;10 638,17
05.09.2021;21635;Woman;28;13125;B;7;Name 7;5733;Medication;1;32;0,033;4,63
02.09.2021;9339;Woman;66;4730;B;5;Name 5;3251;NonMedication;13;190;0,133;2 397,66
30.11.2021;107323;Woman;46;312760;A;1;Name 1;1873;NonMedication;13;183;1;129,94
22.09.2021;4714;Woman;34;70984;B;5;Name 5;1045;Medication;2;45;0,375;30,58
15.11.2021;5432;Woman;56;253739;B;5;Name 5;8571;Medication;0;6;2;132,5
02.11.2021;89345;Man;43;206953;A;0;Name 0;1187;Medication;1;21;1;36,64
10.09.2021;45298;Woman;34;29626;B;7;Name 7;917;Medication;1;18;1;62,25
11.09.2021;34201;Man;48;33385;B;7;Name 7;1086;Medication;0;11;1;43,33
13.11.2021;14845;Woman;75;248692;B;6;Name 6;17131;Medication;1;33;1;103,91
23.09.2021;36528;Woman;45;71465;B;7;Name 7;1030;Medication;0;8;1;169,48
02.09.2021;22197;Man;42;4474;A;1;Name 1;1471;Medication;0;5;0,5;11,71
17.10.2021;35553;Woman;42;153259;B;5;Name 5;9903;Medication;1;33;0,333;17,88
26.10.2021;110676;Woman;39;181740;A;4;Name 4;8140;Medication;2;45;2;141,03
27.11.2021;68292;Man;33;306117;A;8;Name 8;14223;Medication;0;2;0,1;10,78
28.09.2021;114377;Woman;46;87502;A;4;Name 4;16957;NonMedication;13;184;5;167,06
20.10.2021;29906;Woman;23;164224;B;6;Name 6;5734;Medication;1;18;0,167;31,72
27.10.2021;50110;Woman;58;186404;A;1;Name 1;13790;Medication;2;45;0,334;17,94
25.09.2021;117722;Man;24;78449;A;4;Name 4;6395;NonMedication;13;183;1;37,13
03.09.2021;57272;Woman;34;7413;A;0;Name 0;52;Medication;0;9;0,1;4,3
19.11.2021;19115;Woman;62;268331;A;2;Name 2;1983;Medication;1;18;1;32,45
15.10.2021;40525;Man;62;147381;A;2;Name 2;13006;Medication;1;27;0,5;27,09
19.11.2021;103779;Woman;36;266677;B;7;Name 7;7194;NonMedication;8;118;1;1 485,00
18.10.2021;96856;Woman;34;156579;B;5;Name 5;10075;NonMedication;3;47;1;2 908,13
01.09.2021;85754;Woman;41;1761;A;2;Name 2;12079;Medication;1;28;1;54,4
20.10.2021;44417;Man;59;163246;A;2;Name 2;103;Medication;0;2;1;16,44
25.11.2021;47889;Woman;32;293820;B;7;Name 7;16185;NonMedication;10;141;1;8 353,13
31.10.2021;94400;Woman;49;200947;A;3;Name 3;2696;Medication;1;33;0,4;8,19
08.09.2021;36611;Woman;47;25378;A;2;Name 2;1256;Medication;1;22;1;0,87
06.10.2021;36235;Woman;38;113860;B;6;Name 6;10008;NonMedication;3;49;2;918,84
06.10.2021;118902;Woman;69;112467;A;4;Name 4;2071;Medication;1;33;1;16,63
22.11.2021;21566;Woman;27;281460;A;1;Name 1;9904;Medication;1;33;0,25;14,97
10.09.2021;51974;Woman;51;31148;B;6;Name 6;507;Medication;1;25;1;5,45
27.11.2021;29007;Man;36;304603;B;6;Name 6;9973;NonMedication;3;49;1;1 531,41
03.09.2021;24070;Woman;63;9539;A;3;Name 3;2420;Medication;0;6;1;7,3
11.11.2021;1139;Woman;33;241409;A;2;Name 2;1090;Medication;1;21;1;2,86
20.09.2021;75592;Man;40;61518;A;4;Name 4;103;Medication;0;2;0,5;8,33
03.09.2021;122578;Man;44;6131;B;7;Name 7;7084;Medication;0;13;0,5;73,28
18.09.2021;58421;Man;28;56674;A;4;Name 4;15616;NonMedication;12;173;1;2 004,75
10.10.2021;68462;Man;75;128443;A;8;Name 8;727;Medication;0;2;0,1;5,23
28.09.2021;21080;Woman;25;86891;A;1;Name 1;2117;Medication;1;23;1;8,96
10.11.2021;102845;Woman;54;237345;A;3;Name 3;4019;Medication;1;25;0,5;22,16
14.11.2021;58406;Woman;23;250779;B;5;Name 5;1373;NonMedication;3;47;1;  -    
07.09.2021;6128;Man;27;22170;B;5;Name 5;3174;NonMedication;3;54;1;1 902,66
28.10.2021;69524;Man;62;191852;A;8;Name 8;6096;Medication;1;27;1;41,49
22.09.2021;63277;Woman;46;70047;A;2;Name 2;96;Medication;0;15;0,2;12,06
05.11.2021;123915;Man;61;218368;A;0;Name 0;5523;NonMedication;13;183;2;66,83
04.10.2021;24911;Woman;50;105271;B;7;Name 7;625;Medication;1;27;1;65,2
01.09.2021;122992;Woman;45;544;A;4;Name 4;7569;NonMedication;8;125;1;1 833,98
11.11.2021;130828;Man;79;239163;A;4;Name 4;103;Medication;0;2;1;16,69
22.09.2021;2478;Man;25;69916;A;2;Name 2;1481;Medication;1;33;0,667;7,32
12.10.2021;36591;Man;47;135485;B;6;Name 6;233;Medication;1;23;1;9,03
22.11.2021;83513;Man;35;283919;B;5;Name 5;16684;Medication;2;45;1;143,7
16.11.2021;52302;Woman;59;258786;B;6;Name 6;1790;NonMedication;14;200;1;16 706,25
09.10.2021;5209;Man;32;126083;A;2;Name 2;1445;Medication;0;1;2;11,76
14.11.2021;85243;Man;29;250783;B;5;Name 5;9899;NonMedication;4;61;1;1 113,75
01.10.2021;52805;Woman;38;97769;A;1;Name 1;14137;NonMedication;13;183;3;159,64
28.11.2021;120903;Man;30;307981;B;6;Name 6;596;NonMedication;14;202;1;1 175,63
09.11.2021;86451;Woman;32;231796;A;4;Name 4;4930;Medication;1;33;1;34,22
30.11.2021;36059;Woman;36;314948;B;6;Name 6;2687;Medication;1;33;0,333;24,28
28.09.2021;103667;Woman;44;87690;A;4;Name 4;8167;NonMedication;3;47;1;2 049,30
